title,Genre,IMDb rating
Pataal Lok,Drama,7.5
Upload,Sci-fi comedy,8.1
The Marvelous Mrs. Maisel,"Drama, Comedy",8.7
Four More Shots Please,"Drama, Comedy",5.3
Fleabag,Comedy,8.7
Made in Heaven,Drama,8.3
Homecoming,Drama,7.5
Mirzapur,Drama,8.5
The Family Man,"Drama, Action",8.6
Modern Love,"Drama, Romance, Comedy",8
Comicstaan,"Arts, Entertainment, Culture",6.8
Inside Edge,"Sports, Drama",8
The Boys,"Action, Comedy",8.7
Hanna,"Drama, Action",7.5
Hunters,"Drama, Action, Suspense",7.2
Good Omens,"Fantasy, Comedy",8.1
Breathe,"Drama, Suspense",8.4
The Forgotten Army- Azaadi ke Liye,"Drama, Action",8
Tom Clancy's Jack Ryan,"Drama, Action, Suspense",8.1
Tales from the Loop,Sci-fi,7.5
The Test: A New Era for Australia's Team,Documentary,9
The Man in the High Castle,"Drama, Suspense",8
One Mic Stand,Comedy,6.5
Undone,"Animation, Drama",8.2
American Gods,"Sci-fi, Drama, Suspense",7.8
The Tick,"Comedy, Action",7.4
Jestination Unknown,"Comedy, Arts, Entertainment, Culture",6.2
Man with a Plan,Drama,7
Suits,Drama,8.5
Doctor Who,Sci-fi,8.6
Grey's Anatomy,Drama,7.6
The Mentalist,Drama,8.1
Afsos,"Drama, Comedy",7.6
Laakhon Mein Ek,Drama,8.3
House,Drama,8.7
The Good Doctor,Drama,8.2
The Vampire Diaries,"Drama, Horror, Romance, Suspense",7.7
Hostel Daze,"Drama, Comedy",8.7
Mr. Robot,"Drama, Suspense",8.5
Supernatural,"Drama, Suspense, Horror",8.4
Dexter,Drama,8.6
The Magicians,"Drama, Suspense, Fantasy",7.6
Blindspot,Drama,7.4
The Good Wife,Drama,8.3
The Girlfriend Experience,Drama,7.1
Chacha Vidhayak Hain Humare,"Drama, Comedy",7.9
Scorpion,Drama,7.1
Shameless,"Comedy, Drama",8.6
Reign,Drama,7.5
Downtown Abbey,Drama,8.7
McMafia,Drama,7.7
This is Us,Drama,8.7
Malgudi Days Swami & Friends 1,Drama,9.5
Nikita,"Drama, Action",7.7
Carnival Row,"Drama, Fantasy",7.9
Legacies,Drama,7.5
Bates Motel,"Drama, Horror, Suspense",8.2
The Exorcist,Drama,8.1
The Night Manager,"Drama, Suspense",8.1
The Originals,"Drama, Horror, Fantasy",8.2
The Purge,"Drama, Horror, Suspense",6.5
Deception,Drama,7.5
The Last Ship,"Drama, Suspense, Action",7.5
Treadstone,Drama,7
The Terror,"Drama, Suspense, Adventure",8
Manifest,Drama,7.2
Pushpavalli,"Drama, Comedy",7.5
Fringe,Sci-fi,8.4
Person of Interest,"Drama, Action, Suspense",8.4
The Affair,Drama,7.9
The American Playboy: The Hugh Hefner Story,"Drama, Documentary",7.5
The Widow,"Drama, Suspense",6.9
God Friended Me,"Drama, Comedy",6.9
Star Trek: Picard,Sci-fi,7.6
Fear the Walking Dead,"Drama, Horror",6.9
Taken,"Drama, Action",6.6
Bosch,Drama,8.4
Elementary,"Drama, Suspense",7.9
Beauty and the Beast,"Drama, Sci-fi",7.1
NCIS,"Drama, Action",7.8
Masters of Sex,Fantasy,7.9
Into the Badlands,"Drama, Action, Sci-fi",8
Vella Raja,Action,7.2
Bang Baaja Baaraat,Drama,8
Covert Affairs,"Drama, Action",7.3
The Handmaid's Tale,Drama,8.5
Gangstars,"Drama, Suspense",6.9
Madam Secretary,Drama,7.6
Marvel's Runaways,"Drama, Sci-fi",7
One Tree Hill,Drama,7.7
Absentia,"Drama, Suspense",7.3
Grimm,"Drama, Action, Adventure",7.8
Heroes,"Drama, Sci-fi",7.5
Startup,Drama,8
Extant,Drama,6.6
Goliath,Drama,8.2
Station 19,Drama,6.6
Diablo Guardian,Drama,6
Lethal Weapon,"Drama, Action",7.9
Chernobyl: Aftermath,Drama,5.8
Blue Bloods,Drama,7.6
Patriot,"Drama, Suspense",8.3
Rizzoli and Isles,"Drama, Action",7.6
Luther,Drama,8.5
Dispatches from Elsewhere,"Drama, Suspense",6.8
Mad Men,Drama,8.6
The Looming Tower,"Drama, Suspense",8
Siyaasat,Drama,7.4
Mafia Undercover,Drama,
The Baker and The Beauty,"Drama, Romance",
"Roswell, New Mexico",Drama,
Pretty Little Liars: The Perfectionists,Drama,
Major Crimes,Drama,7.7
Happy Marriage!?,"Drama, Romance",
The Crossing,"Drama, Sci-fi",
Famous in Love,"Drama, Romance",6.9
Rush,Drama,
Whiskey Cavalier,"Drama, Comedy, Action",
Hawaii Five-O,"Drama, Action",7.3
Penny Dreadful,"Drama, Horror",8.2
You are Wanted,Drama,
H.G. Wells: The Invisible Man,"Drama, Sci-fi, Suspense, Action",
Parenthood,"Drama, Comedy",
Marvel's Cloak & Dagger,"Drama, Fantasy",
Preacher,Drama,8
The Trial: A Murder in the Family,Drama,
Claws,Drama,7.3
The Good Fight,Drama,
Sneaky Pete,Drama,8.2
Shaktimaan,Drama,
American Woman,"Drama, Comedy",
Hap and Leonard,"Drama, Suspense",7.6
Chicago Med,Drama,
Murder in the First,Drama,7.2
House of Lies,"Drama, Comedy",7.4
The Missing,Drama,
Dance Academy,Drama,8.1
A very English Scandal,Drama,
Mozart in the Jungle,"Drama, Comedy",8.2
21 Jump Street,Drama,
The Romanoffs,Drama,7
El Presidente,Drama,
Ray Donovan,Drama,8.3
The Neighbors,Drama,
Training Day,"Drama, Action",6
Flesh and Bone,"Drama, LGBTQ, Arts, Entertainment, Culture",8
Injustice,Drama,
Tokyo Girl,"Drama, Comedy",8.1
Z: The Beginning of Everything,Drama,7.2
Guilt,Drama,6
Good Girls Revolt,Drama,8.2
Hand of God,Drama,7.5
The Rook,Drama,
Time After Time,"Drama, Sci-fi",6.7
Life,Drama,8.3
Hunter,Drama,
The Missing,Drama,
Fukuyadou Honpo-Kyoto Love Story,"Drama, Romance",7.7
Collision,Drama,
Presumed Guilty,Drama,
