Prime TV Shows
S.no.,Name of the show,Genre,IMDb rating
1,Pataal Lok,Drama,7.5
2,Upload,Sci-fi comedy,8.1
3,The Marvelous Mrs. Maisel,"Drama, Comedy",8.7
4,Four More Shots Please,"Drama, Comedy",5.3
5,Fleabag,Comedy,8.7
6,Made in Heaven,Drama,8.3
7,Homecoming,Drama,7.5
8,Mirzapur,Drama,8.5
9,The Family Man,"Drama, Action",8.6
10,Modern Love,"Drama, Romance, Comedy",8
11,Comicstaan,"Arts, Entertainment, Culture",6.8
12,Inside Edge,"Sports, Drama",8
13,The Boys,"Action, Comedy",8.7
14,Hanna,"Drama, Action",7.5
15,Hunters,"Drama, Action, Suspense",7.2
16,Good Omens,"Fantasy, Comedy",8.1
17,Breathe,"Drama, Suspense",8.4
18,The Forgotten Army- Azaadi ke Liye,"Drama, Action",8
19,Tom Clancy's Jack Ryan,"Drama, Action, Suspense",8.1
20,Tales from the Loop,Sci-fi,7.5
21,The Test: A New Era for Australia's Team,Documentary,9
22,The Man in the High Castle,"Drama, Suspense",8
23,One Mic Stand,Comedy,6.5
24,Undone,"Animation, Drama",8.2
25,American Gods,"Sci-fi, Drama, Suspense",7.8
26,The Tick,"Comedy, Action",7.4
27,Jestination Unknown,"Comedy, Arts, Entertainment, Culture",6.2
28,Man with a Plan,Drama,7
29,Suits,Drama,8.5
30,Doctor Who,Sci-fi,8.6
31,Grey's Anatomy,Drama,7.6
32,The Mentalist,Drama,8.1
33,Afsos,"Drama, Comedy",7.6
34,Laakhon Mein Ek,Drama,8.3
35,House,Drama,8.7
36,The Good Doctor,Drama,8.2
37,The Vampire Diaries,"Drama, Horror, Romance, Suspense",7.7
38,Hostel Daze,"Drama, Comedy",8.7
39,Mr. Robot,"Drama, Suspense",8.5
40,Supernatural,"Drama, Suspense, Horror",8.4
41,Dexter,Drama,8.6
42,The Magicians,"Drama, Suspense, Fantasy",7.6
43,Blindspot,Drama,7.4
44,The Good Wife,Drama,8.3
45,The Girlfriend Experience,Drama,7.1
46,Chacha Vidhayak Hain Humare,"Drama, Comedy",7.9
47,Scorpion,Drama,7.1
48,Shameless,"Comedy, Drama",8.6
49,Reign,Drama,7.5
50,Downtown Abbey,Drama,8.7
51,McMafia,Drama,7.7
52,This is Us,Drama,8.7
53,Malgudi Days Swami & Friends 1,Drama,9.5
54,Nikita,"Drama, Action",7.7
55,Carnival Row,"Drama, Fantasy",7.9
56,Legacies,Drama,7.5
57,Bates Motel,"Drama, Horror, Suspense",8.2
58,The Exorcist,Drama,8.1
59,The Night Manager,"Drama, Suspense",8.1
60,The Originals,"Drama, Horror, Fantasy",8.2
61,The Purge,"Drama, Horror, Suspense",6.5
62,Deception,Drama,7.5
63,The Last Ship,"Drama, Suspense, Action",7.5
64,Treadstone,Drama,7
65,The Terror,"Drama, Suspense, Adventure",8
66,Manifest,Drama,7.2
67,Pushpavalli,"Drama, Comedy",7.5
68,Fringe,Sci-fi,8.4
69,Person of Interest,"Drama, Action, Suspense",8.4
70,The Affair,Drama,7.9
71,The American Playboy: The Hugh Hefner Story,"Drama, Documentary",7.5
72,The Widow,"Drama, Suspense",6.9
73,God Friended Me,"Drama, Comedy",6.9
74,Star Trek: Picard,Sci-fi,7.6
75,Fear the Walking Dead,"Drama, Horror",6.9
76,Taken,"Drama, Action",6.6
77,Bosch,Drama,8.4
78,Elementary,"Drama, Suspense",7.9
79,Beauty and the Beast,"Drama, Sci-fi",7.1
80,NCIS,"Drama, Action",7.8
81,Masters of Sex,Fantasy,7.9
82,Into the Badlands,"Drama, Action, Sci-fi",8
83,Vella Raja,Action,7.2
84,Bang Baaja Baaraat,Drama,8
85,Covert Affairs,"Drama, Action",7.3
86,The Handmaid's Tale,Drama,8.5
87,Gangstars,"Drama, Suspense",6.9
88,Madam Secretary,Drama,7.6
89,Marvel's Runaways,"Drama, Sci-fi",7
90,One Tree Hill,Drama,7.7
91,Absentia,"Drama, Suspense",7.3
92,Grimm,"Drama, Action, Adventure",7.8
93,Heroes,"Drama, Sci-fi",7.5
94,Startup,Drama,8
95,Extant,Drama,6.6
96,Goliath,Drama,8.2
97,Station 19,Drama,6.6
98,Diablo Guardian,Drama,6
99,Lethal Weapon,"Drama, Action",7.9
100,Chernobyl: Aftermath,Drama,5.8
101,Blue Bloods,Drama,7.6
102,Patriot,"Drama, Suspense",8.3
